"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R20,R1,R6";"R_0805_2012Metric";3;"100R";;;
2;"C8,C9,C4,C5";"C_0805_2012Metric";4;"0.1U";;;
3;"R3,R4,R2,R23,R22,R24,R26,R7,R21";"R_0805_2012Metric";9;"10k";;;
4;"U12,U3";"SOIC127P600X175-8N";2;"MCP2562-E_SN";;;
5;"F1";"Fuse_0805_2012Metric";1;"Fuse";;;
6;"IC1";"SOT230P700X180-4N";1;"REG1117-5";;;
7;"R16,R8,R15,R13,R11,R12,R9,R18,R14,R19,R17,R31,R30,R10";"R_0805_2012Metric";14;"10K";;;
8;"J2,J3";"TE_776280-1";2;"776280-1";;;
9;"U11,U1,U10";"SOT95P280X145-5N";3;"OPA325IDBVR";;;
10;"Q1,Q2,Q3";"TO92254P470H750-3";3;"2N2222A";;;
11;"D1,D2,D3";"LED_0805_2012Metric";3;"LED";;;
12;"C1,C6,C7";"C_0805_2012Metric";3;"1N";;;
13;"C3,C2";"C_0805_2012Metric";2;"10U";;;
14;"U2";"Teensy40_SMT";1;"Teensy4.0";;;
15;"U4,U5,U8,U7,U9,U6";"SOIC254P695X242-4N";6;"VOM618A-3T";;;
16;"R28,R29,R32";"R_0805_2012Metric";3;"R_US";;;
17;"J4";"TE_776163-5";1;"1-776163-5";;;
18;"R25,R5,R27";"R_0805_2012Metric";3;"1k";;;
19;"K1,K2,K3";"RELAY_PRE29-5V-S-450-1A-E";3;"J107F1AS123VDC.36";;;
