Designator,Mid X,Mid Y,Rotation,Layer
C1,161.850827,-107.055462,180.0,top
C2,231.860827,-96.505462,90.0,top
C3,238.123827,-89.371462,180.0,top
C4,185.050827,-92.775462,180.0,top
C5,192.575827,-79.800462,270.0,top
C6,144.788327,-116.180462,180.0,top
C7,126.288327,-116.180462,180.0,top
C8,240.775827,-77.425462,90.0,top
C9,235.625827,-84.225462,180.0,top
D2,240.175827,-110.200462,90.0,top
D3,233.175827,-110.200462,90.0,top
F1,187.425827,-77.225462,270.0,top
IC1,237.775827,-96.175462,270.0,top
J2,165.075827,-70.875462,180.0,top
J3,209.875827,-70.875462,180.0,top
J4,102.275827,-70.797962,180.0,top
K1,76.900827,-93.325462,90.0,top
K2,76.950827,-117.450462,90.0,top
K3,58.187554,-92.955535,90.0,top
K4,94.825827,-117.525462,90.0,top
K5,95.150827,-93.350462,90.0,top
Q1,69.688327,-103.944462,180.0,top
Q2,67.006827,-122.662962,90.0,top
Q3,104.819827,-121.787962,270.0,top
Q4,54.500827,-103.720462,180.0,top
Q5,106.156827,-99.262962,90.0,top
R1,152.350827,-107.055462,0.0,top
R10,137.575827,-99.275462,0.0,top
R11,143.575827,-99.275462,180.0,top
R12,128.210827,-84.290462,270.0,top
R13,161.845827,-84.275462,270.0,top
R14,154.075827,-84.275462,270.0,top
R15,127.575827,-99.275462,180.0,top
R16,160.940827,-99.275462,180.0,top
R17,154.075827,-99.275462,0.0,top
R18,119.845827,-84.230462,270.0,top
R19,119.935827,-99.275462,0.0,top
R2,152.350827,-111.555462,0.0,top
R20,134.288327,-107.180462,0.0,top
R21,115.788327,-116.180462,0.0,top
R22,134.288327,-111.680462,0.0,top
R23,126.288327,-107.180462,180.0,top
R24,134.288327,-116.180462,0.0,top
R25,126.288327,-111.680462,0.0,top
R26,144.788327,-107.180462,180.0,top
R27,144.788327,-111.680462,0.0,top
R29,240.175827,-104.200462,270.0,top
R3,152.350827,-116.555462,0.0,top
R32,233.175827,-104.200462,270.0,top
R33,111.325827,-84.355462,270.0,top
R34,110.175827,-99.055462,0.0,top
R36,92.350827,-79.850462,0.0,top
R37,235.225827,-72.675462,180.0,top
R38,184.955827,-82.025462,180.0,top
R4,161.850827,-116.055462,180.0,top
R5,161.850827,-111.555462,0.0,top
R6,115.788327,-107.180462,0.0,top
R7,115.788327,-111.680462,0.0,top
R8,137.345827,-84.275462,270.0,top
R9,145.575827,-84.275462,270.0,top
U1,157.350827,-112.055462,270.0,top
U10,139.788327,-111.680462,270.0,top
U11,121.288327,-111.680462,270.0,top
U12,185.050827,-87.775462,90.0,top
U13,110.125827,-91.355462,270.0,top
U2,208.325827,-103.275462,0.0,top
U3,235.625827,-79.225462,90.0,top
U4,136.075827,-91.275462,270.0,top
U5,144.305827,-91.480462,270.0,top
U6,127.575827,-91.275462,270.0,top
U7,160.575827,-91.230462,270.0,top
U8,152.840827,-91.230462,270.0,top
U9,118.575827,-91.275462,270.0,top
